Ḩeşār-e Sefīd , IR
As Sulaymānīyah , SA
Sājir , SA
As Saffānīyah , SA
Minţaqat ‘Asīr , SA
Ash Shurayf , SA
Ash Shubramīyah , SA
Al Minţaqah ash Sharqīyah , SA
Ar Ruqayyiqah , SA
Riyadh , SA
Minţaqat ar Riyāḑ , SA
Ar Rass , SA
Arar , SA
An Nimāş , SA
Qurayyat , SA
Al Wajh , SA
Al Qurayn , SA
Qaisumah , SA
Al Qaţīf , SA
Al-Qassim Province , SA
Al Quraynah , SA
Al Qārah , SA
Al Muţayrifī , SA
Al Munayzilah , SA
Al Mubarraz , SA
Al Mindak , SA
Al Mikhlāf , SA
Al Markaz , SA
Medina , SA
Al Madīnah al Munawwarah , SA
Khobar , SA
Al Kharj , SA
Al Khafjī , SA
Al Jumūm , SA
Al Jubayl , SA
Al Jubayl , SA
Al Jawf , SA
Al Jarādīyah , SA
Al Jafr , SA
Al Hufūf , SA
Minţaqat al Ḩudūd ash Shamālīyah , SA
Al Ghaţghaţ , SA
Al Bukayrīyah , SA
Al Baţţālīyah , SA
Al Buşur , SA
Al Bahah , SA
Al Arţāwīyah , SA
Al ‘Aqīq , SA
Al Awjām , SA
Afif , SA
Ad Dilam , SA
Ad Dawādimī , SA
Ad Darb , SA
Dammam , SA
Abū ‘Arīsh , SA
Abha , SA
Abā as Su‘ūd , SA
Ostān-e Tehrān , IR
Āzādshahr , IR
Zarand , IR
Ostān-e Zanjān , IR
Zanjān , IR
Yazd , IR
Yazd , IR
Varāmīn , IR
Vālānjerd , IR
Torbat-e Ḩeydarīyeh , IR
Tonekābon , IR
Tehran , IR
Hashtpar , IR
Tākestān , IR
Takāb , IR
Taft , IR
Tafresh , IR
Tabriz , IR
Tabas , IR
Şūfīābād , IR
Sonqor , IR
Sirjan , IR
Shūshtar , IR
Shūsh , IR
Shiraz , IR
Shajīrāt , IR
Shahr-e Kord , IR
Shahr-e Bābak , IR
Shādegān , IR
Semnan Province , IR
Semnan , IR
Semīrom , IR
Sāveh , IR
Sari , IR
Sārīmsāqlū , IR
Saqqez , IR
Sang Kanī , IR
Sanandaj , IR
Salmās , IR
Shāhīn Dezh , IR
Sabzevar , IR
Rūdsar , IR
Robāţ Karīm , IR
Rāvar , IR
Rasht , IR
Rāmshīr , IR
Rāmhormoz , IR
Ramak , IR
Rafsanjān , IR
Qūchān , IR
Qorveh , IR
Qom , IR
Qeshm , IR
Qazvin , IR
Qarah Ẕīā’ od Dīn , IR
Qal‘eh-ye Moḩammad ‘Alī Khān , IR
Farrokh Shahr , IR
Qā’en , IR
Sarpol-e Z̄ahāb , IR
Pīshvā , IR
Piranshahr , IR
Pāveh , IR
Pārsābād , IR
Oshnavīyeh , IR
Orūmīyeh , IR
Omīdīyeh-ye Soflá , IR
Omīdīyeh , IR
Nūrābād , IR
Nowshahr , IR
Nowjeh Deh-e Sheykhlar , IR
Neyshābūr , IR
Neyrīz , IR
Nekā , IR
Naz̧arābād , IR
Naqadeh , IR
Namīn , IR
Nahāvand , IR
Ḩowẕ-e Sorkh , IR
Moḩammadābād , IR
Mīnāb , IR
Mīāndoāb , IR
Meybod , IR
Mahrīz , IR
Mehrān , IR
Ostān-e Māzandarān , IR
Masjed Soleymān , IR
Bardsīr , IR
Mashhad , IR
Ostān-e Markazī , IR
Marand , IR
Malāyer , IR
Malārd , IR
Maḩmūdābād-e Soflá , IR
Mahābād , IR
Ostān-e Lorestān , IR
Lāvān , IR
Langarūd , IR
Kūhdasht , IR
Ostān-e Kordestān , IR
Ostān-e Kohgīlūyeh va Bowyer Aḩmad , IR
Kīsh , IR
Khowy , IR
Khvānsār , IR
Khuzestan , IR
Khorramshahr , IR
Khorramabad , IR
Khomeyn , IR
Khani Yek , IR
Khāmeneh , IR
Khalkhāl , IR
Maḩaleh-ye Khāfī , IR
Ostān-e Kermānshāh , IR
Kermanshah , IR
Kerman , IR
Kerman , IR
Kāzerūn , IR
Kāshmar , IR
Kashan , IR
Karaj , IR
Kangāvar , IR
Kāmyārān , IR
Kalāteh-ye Karbalā’ī Ḩājjī , IR
Kalāteh-ye Bālī , IR
Kalāleh , IR
Jūybār , IR
Jūraqān , IR
Khārk , IR
Javānrūd , IR
Javādīyeh , IR
Islamic Republic of Iran , IR
Ilam Province , IR
Īlām , IR
Hormozgan , IR
Harsīn , IR
Hārom , IR
Ostān-e Hamadān , IR
Hamadān , IR
Gūsheh Shāhzādeh Qāsem , IR
Gorgān , IR
Gonbad-e Kāvūs , IR
Gonābād , IR
Golpāyegān , IR
Ostān-e Gīlān , IR
Gerīzeh , IR
Gerāsh , IR
Garmsār , IR
Bandar-e Genāveh , IR
Fīsherābād , IR
Fīrūzābād , IR
Fareydūnshahr , IR
Fereydūnkenār , IR
Fasā , IR
Fārsān , IR
Fars , IR
pamas , IR
Esfarāyen , IR
Shahrud , IR
Dogonbadan , IR
Dezful , IR
Delījān , IR
Dehlorān , IR
Dehdasht , IR
Deh , IR
Sūsangerd , IR
Dārāb , IR
Dāmghān , IR
Damāvand , IR
Jowkān , IR
Cheshmeh Kabūd , IR
Chenārān , IR
Chālūs , IR
Ostān-e Chahār Maḩāl va Bakhtīārī , IR
Bushehr , IR
Bushehr , IR
Būkān , IR
Borūjerd , IR
Borūjen , IR
Borjak , IR
Borāzjān , IR
Bojnūrd , IR
Bīrjand , IR
Bījār , IR
Barāk , IR
Bonāb , IR
Behshahr , IR
Behbahān , IR
Bāneh , IR
Shenās , IR
Bandar-e Lengeh , IR
Bandar Emām Khomeynī , IR
Bandar-e Anzalī , IR
Bandar Abbas , IR
Bam , IR
Bahār , IR
Bāfq , IR
Bābolsar , IR
Bābol , IR
Aznā , IR
East Azerbaijan , IR
West Azerbaijan Province , IR
Hashtrūd , IR
Āstārā , IR
Āstāneh-ye Ashrafīyeh , IR
Asadābād , IR
Ardestān , IR
Ardakān , IR
Ardabīl , IR
Arāk , IR
Āmol , IR
Alvand , IR
Shahrīār , IR
Alīgūdarz , IR
Aleshtar , IR
Akbarābād , IR
‘Ajab Shīr , IR
Ahvaz , IR
Ahvāz , IR
Aḩmadābād , IR
Ahar , IR
Aghajari , IR
Ābyek , IR
Ābyek , IR
Abhar , IR
Ābdānān , IR
Ābādeh , IR
Abadan , IR
Saurimo , AO
Lunda Sul , AO
Lunda Norte Province , AO
Lucapa , AO
Ýpsonas , CY
Gerólakkos , CY
Géri , CY
Xylotymbou , GB
Tséri , CY
Voróklini , CY
Týmvou , CY
Troúlloi , CY
Tríkomo , CY
Tersefánou , CY
Tála , CY
Sotíra , CY
Rizokárpaso , CY
Pyrgos , CY
Pýla , CY
Psimolofou , CY
Psevdás , CY
Pólis , CY
Pissoúri , CY
Frénaros , CY
Pégeia , CY
Perivólia , CY
Peristeróna , CY
Pérgamos , GB
Péra , CY
Peléndri , CY
Parekklisha , CY
Paralímni , CY
Eparchía Páfou , CY
Paphos , CY
Páno Polemídia , CY
Páno Defterá , CY
Pallouriótissa , CY
Páchna , CY
Eparchía Lefkosías , CY
Nicosia , CY
Mouttagiáka , CY
Mosfilotí , CY
Mórfou , CY
Mesógi , CY
Meneou , CY
Mámmari , CY
Lythrodóntas , CY
Lýmpia , CY
Livádia , CY
Liopétri , CY
Eparchía Lemesoú , CY
Limassol , CY
Leonárisso , CY
Lefkónoiko , CY
Léfka , CY
Eparchía Lárnakas , CY
Larnaca , CY
Lápithos , CY
Eparchía Kerýneias , CY
Kyrenia , CY
Kyperoúnta , CY
Kórnos , CY
Kofínou , CY
Kolossi , GB
Kokkinotrimithiá , CY
Klírou , CY
Kíti , CY
Kissonerga , CY
Chlórakas , CY
Káto Pýrgos , CY
Káto Defterá , CY
Kakopetriá , CY
Eparchía Ammochóstou , CY
Famagusta , CY
Erími , CY
Episkopí , CY
Emba , CY
Dhromolaxia , CY
Derýneia , CY
Dáli , CY
Republic of Cyprus , CY
Ágios Týchon , CY
Ayia Napa , CY
Avgórou , CY
Áchna , CY
Athíenou , CY
Athalássa , CY
Astromerítis , CY
Asínou , CY
Ergátes , CY
Aradíppou , CY
Aredioú , CY
Alámpra , CY
Akrotiri , GB
Acherítou , CY
Achéleia , CY
Akáki , CY
Prishibinskoye , AZ
Beylagan Rayon , AZ
Zangilan Rayon , AZ
Zangilan , AZ
Yardımlı , AZ
Yardymli Rayon , AZ
Novyy Karanlug , AZ
Xankandi , AZ
Əhmədbəyli , AZ
Shushi , AZ
Shekyarabad , AZ
Salyan Rayon , AZ
Salyan , AZ
Şahbuz , AZ
Sedarak , AZ
Sabirabad Rayon , AZ
Saatly Rayon , AZ
Qubadlı , AZ
Qaraçala , AZ
Bilasuvar Rayon , AZ
Orjonikidze , AZ
Ordubad , AZ
Neftchala Rayon , AZ
Neftçala , AZ
Nakhchivan , AZ
Nakhchivan Autonomous Republic , AZ
Mincivan , AZ
Masally District , AZ
Masally , AZ
Lerik Rayon , AZ
Lerik , AZ
Lankaran Rayon , AZ
Lankaran , AZ
Laçın , AZ
Laçın Rayonu , AZ
Qubadli Rayon , AZ
Qırmızı Bazar , AZ
Kizhaba , AZ
Xocalı , AZ
Xıllı , AZ
Imishli , AZ
Imishli Rayon , AZ
Horadiz , AZ
Haftoni , AZ
Hadrut , AZ
Fizuli Rayon , AZ
Jabrayil District , AZ
Jebrail , AZ
Jalilabad , AZ
Culfa , AZ
Jalilabad , AZ
Boradigah , AZ
Pushkino , AZ
Severo-Vostotchnyi Bank , AZ
Astara District , AZ
Astara , AZ
Xocalı Rayonu , AZ
Askyaran , AZ
Şirvan , AZ
Aghjabadi Rayon , AZ
Aghdam Rayon , AZ
Ağdam , AZ
Kagera Region , TZ
Zanzibar Urban/West Region , TZ
Zanzibar Central/South Region , TZ
Zanzibar , TZ
Wete , TZ
Vwawa , TZ
Vikindu , TZ
Uyovu , TZ
Uwelini , TZ
Uvinza , TZ
Utete , TZ
Usoke , TZ
Ushirombo , TZ
Usevia , TZ
Usagara , TZ
Usa River , TZ
Urambo , TZ
Ulenje , TZ
Ujiji , TZ
Tunduma , TZ
Tumbi , TZ
Tukuyu , TZ
Tinde , TZ
Tarime , TZ
United Republic of Tanzania , TZ
Tanga Region , TZ
Tanga , TZ
Tabora Region , TZ
Tabora , TZ
Sumbawanga , TZ
Soni , TZ
Songwa , TZ
Somanda , TZ
Sokoni , TZ
Sirari , TZ
Singida Region , TZ
Singida , TZ
Sikonge , TZ
Shinyanga Region , TZ
Shinyanga , TZ
Shelui , TZ
Sepuka , TZ
Sea View , TZ
Same , TZ
Rulenge , TZ
Rukwa Region , TZ
Rujewa , TZ
Regeza Mwendo , TZ
Coast Region , TZ
Puma , TZ
Poli , TZ
Pemba South Region , TZ
Pemba North Region , TZ
Pangani , TZ
Old Shinyanga , TZ
Nzega , TZ
Nyanguge , TZ
Nyamuswa , TZ
Nyalikungu , TZ
Nyakato , TZ
Nyakahanga , TZ
Nyakabindi , TZ
Nsunga , TZ
Nshamba , TZ
Nkove , TZ
Nkoaranga , TZ
Njombe , TZ
Nguruka , TZ
Ngudu , TZ
Ngorongoro , TZ
Ngerengere , TZ
Ngara , TZ
Nganane , TZ
Ndungu , TZ
Nduli , TZ
Ndago , TZ
Nansio , TZ
Nangwa , TZ
Namanyere , TZ
Namanga , TZ
Nakatunguru , TZ
Naberera , TZ
Mwembe , TZ
Mwaya , TZ
Mwanza Region , TZ
Mwanza , TZ
Mwanga , TZ
Mwadui , TZ
Mvomero , TZ
Musoma , TZ
Muriti , TZ
Mungaa , TZ
Muleba , TZ
Muheza , TZ
Mugumu , TZ
Mugango , TZ
Mtwango , TZ
Mto wa Mbu , TZ
Mtinko , TZ
Mtimbira , TZ
Mtambile , TZ
Msowero , TZ
Msanga , TZ
Mpwapwa , TZ
Mpanda , TZ
Moshi , TZ
Morogoro Region , TZ
Morogoro , TZ
Monduli , TZ
Mlowo , TZ
Mlimba , TZ
Mlangali , TZ
Mlandizi , TZ
Mlalo , TZ
Mkuranga , TZ
Mkokotoni , TZ
Mwandiga , TZ
Misungwi , TZ
Misasi , TZ
Mikumi , TZ
Micheweni , TZ
Mhango , TZ
Mgandu , TZ
Mbumi , TZ
Mbulu , TZ
Mbuguni , TZ
Mbeya Region , TZ
Mbeya , TZ
Mazinde , TZ
Matui , TZ
Matonga , TZ
Matamba , TZ
Matai , TZ
Maswa , TZ
Masumbwe , TZ
Masoko , TZ
Masiwani , TZ
Masama , TZ
Marwa , TZ
Marombosa , TZ
Mara Region , TZ
Maramba , TZ
Maneromango , TZ
Malya , TZ
Malinyi , TZ
Malangali , TZ
Malampaka , TZ
Makuyuni , TZ
Makungu , TZ
Makumbako , TZ
Makanya , TZ
Majengo , TZ
Mahonda , TZ
Mahenge , TZ
Mahanje , TZ
Kihangara , TZ
Magugu , TZ
Magomeni , TZ
Magomeni , TZ
Magole , TZ
Mafinga , TZ
Mabibe , TZ
Mabamba , TZ
Mabama , TZ
Lushoto , TZ
Lupiro , TZ
Lugoba , TZ
Longido , TZ
Liwale , TZ
Lindi Region , TZ
Lembeni , TZ
Lalago , TZ
Laela , TZ
Kyela , TZ
Kyaka , TZ
Kwakoa , TZ
Kongwa , TZ
Kondoa , TZ
Konde , TZ
Koani Ndogo , TZ
Koani , TZ
Kiwira , TZ
Kiwengwa , TZ
Kisiwani , TZ
Kishapu , TZ
Kisesa , TZ
Kisarawe , TZ
Kisanga , TZ
Kirya , TZ
Kirando , TZ
Kipalapala , TZ
Kiomboi , TZ
Kintinku , TZ
Kingori , TZ
Kimamba , TZ
Kilwa Masoko , TZ
Kilosa , TZ
Kilindoni , TZ
Kilimatinde , TZ
Kilimanjaro Region , TZ
Kijini , TZ
Kihurio , TZ
Kigunga , TZ
Kigoma Region , TZ
Kigoma , TZ
Kidodi , TZ
Kidatu , TZ
Kibondo , TZ
Kibiti , TZ
Kibaya , TZ
Kibara , TZ
Kibakwe , TZ
Kibaha , TZ
Katumba , TZ
Katoro , TZ
Katoro , TZ
Katesh , TZ
Katerero , TZ
Kasulu , TZ
Kasamwa , TZ
Karema , TZ
Kiratu , TZ
Kandete , TZ
Kamachumu , TZ
Kaliua , TZ
Kakonko , TZ
Kahama , TZ
Kabanga , TZ
Izazi , TZ
Itumba , TZ
Itigi , TZ
Issenye , TZ
Isaka , TZ
Iringa Region , TZ
Iringa , TZ
Ipinda , TZ
Inyonga , TZ
Ilula , TZ
Ilongero , TZ
Ilembula , TZ
Ilembo , TZ
Ikwiriri , TZ
Ikungi , TZ
Ihale , TZ
Igurusi , TZ
Igurubi , TZ
Igunga , TZ
Igugunu , TZ
Igalula , TZ
Ifakara , TZ
Hedaru , TZ
Geiro , TZ
Gamba , TZ
Galappo , TZ
Foraha , TZ
Endasak , TZ
Dunda , TZ
Dongobesh , TZ
Dodoma Region , TZ
Dodoma , TZ
Dar es Salaam Region , TZ
Dar es Salaam , TZ
Dareda , TZ
Chimala , TZ
Chato , TZ
Chanika , TZ
Chalinze , TZ
Chala , TZ
Chake Chake , TZ
Butiama , TZ
Buseresere , TZ
Bungu , TZ
Bunda , TZ
Bukonyo , TZ
